제품명,기본정보,원료약품 및 분량,효능효과,용법용량,주의사항
,"{'제품명': '럭셔리샴푸앤컨디셔너-라벤더', '제품 영문명': 'Luxury Dog Shampoo and Conditioner in One - Lavender', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2010-07-09', '품목정보': '동물용의약외품-수입-022-558', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '불투명한 점성액제', '제조방법': '제조사의 제조 방법에 따름', '저장방법': '1)섭씨 25도 이하의 시원하고 통풍이 잘 되는 \n  건조한 곳에 보관\n2)제조일로부터 36개월', '포장단위': '12oz(355ml), 128oz (3787ml)'}","[['1', 'Purified water (ICID)'], ['2', 'Glycerin (ICID)'], ['3', 'Cellulose gum (ICID)'], ['4', 'Cocoglucoside (ICID)'], ['5', 'Decyl glucoside (ICID)'], ['6', 'Palm stearic acid (ICID)'], ['7', 'Citric acid (ICID)'], ['8', 'Colloidal oatmeal (ICID)'], ['9', 'Panthenol (ICID)'], ['10', 'Coconut oil (ICID)'], ['11', 'Organic honey (ICID)'], ['12', 'Essential oils (Fragrance:lavender, ylang ylang, eucalyptus, ICID)']]",없음,없음,없음
,"{'제품명': '럭셔리샴푸앤컨디셔너-그린티', '제품 영문명': 'Luxury Dog Shampoo and Conditioner in One - Green Tea', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2010-07-09', '품목정보': '동물용의약외품-수입-022-559', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '불투명한 점성액제', '제조방법': '제조사의 제조 방법에 따름', '저장방법': '1)섭씨 25도 이하의 시원하고 통풍이 잘 되는 \n  건조한 곳에 보관\n2)제조일로부터 36개월', '포장단위': '12oz(355ml), 128oz (3787ml)'}","[['1', 'Purified water (ICID)'], ['2', 'Glycerin (ICID)'], ['3', 'Cellulose gum (ICID)'], ['4', 'Cocoglucoside (ICID)'], ['5', 'Decyl glucoside (ICID)'], ['6', 'Palm stearic acid (ICID)'], ['7', 'Citric acid (ICID)'], ['8', 'Colloidal oatmeal (ICID)'], ['9', 'Panthenol (ICID)'], ['10', 'Coconut oil (ICID)'], ['11', 'Organic honey (ICID)'], ['12', 'Essential oils (Fragrance : madarin, green tea, ginger, ICID)']]",없음,없음,없음
,"{'제품명': '벨러스 샴푸 콘선트레이트', '제품 영문명': 'Vellus Shampoo Concentrate', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2005-04-11', '품목정보': '동물용의약외품-수입-022-361', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '진주색의 점성 액제', '저장방법': '1) 제조일로 부터 2년\n2) 5도씨에서 30도씨사이로 보존하십시오.', '포장단위': '50ml(2oz), 300ml(12oz), 946ml(32oz), 3.78L(1gal)'}","[['1', '정제수'], ['2', 'Ethylenediaminetetraacetic acid disodium salt'], ['3', 'Oat Flour'], ['4', 'Alcohol Ethoxy Sulfate'], ['5', 'Disodium laureth sufosuccinate'], ['6', 'Coconut fatty acid diethanolamine'], ['7', 'Methyl paraben'], ['8', 'Propyl paraben'], ['9', 'Fragrance'], ['10', 'Sodium chloride'], ['11', 'Dye'], ['12', 'Dye'], ['13', 'Protein'], ['14', 'DMDM Hydantoin']]",없음,없음,없음
,"{'제품명': '벨러스클래어파잉샴푸콘선트레이트', '제품 영문명': 'VellusClarifyingShampooConcente', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2005-04-11', '품목정보': '동물용의약외품-수입-022-362', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '녹색의 점성 액제', '제조방법': '[생 략]', '저장방법': '1) 제조일로 부터 2년\n2) 5도씨에서 30도씨사이로 보존하십시오.', '포장단위': '50ml(2oz), 300ml(12oz), 946ml(32oz), 3.78L(1gal)'}","[['1', '정제수'], ['2', 'Hydroxyethyl cellulose'], ['3', 'Methyl paraben'], ['4', 'Propyl paraben'], ['5', 'Steralkonium chloride'], ['6', 'Alcohol Ethoxy Sulfate'], ['7', 'Lanoline'], ['8', 'Distyryl Biphenyl Derivative'], ['9', 'Sodium chloride'], ['10', 'Dye'], ['11', 'Dye'], ['12', 'DMDM Hydantoin'], ['13', 'Mineral oil'], ['14', 'Refatting Agent'], ['15', 'Pearlizer']]",없음,없음,없음
,"{'제품명': '골드메달 클린 아이', '제품 영문명': 'Gold Medal Clean Eyes', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2007-04-09', '품목정보': '동물용의약외품-수입-022-501', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '무색 투명한 액체', '제조방법': '제조사의 제조방법에 따른다.', '저장방법': '제조일로부터 36개월', '포장단위': '4oz(100ml), 5ml'}","[['1', 'Sodium borate'], ['2', 'Sorbic acid'], ['3', 'Sodium chloride'], ['4', 'Disodium EDTA'], ['5', 'Boric acid'], ['6', 'Water (Aqua)']]",없음,없음,없음
,"{'제품명': '골드메달 티어스테인 리무버', '제품 영문명': 'Gold Medal Tear Stain Remover', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2007-09-14', '품목정보': '동물용의약외품-수입-022-503', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '옅은 청색의 맑은 액체', '제조방법': '제조사의 제조방법에 따른다.', '저장방법': '- 직사광선을 피할 것\n- 제조일로부터 36개월', '포장단위': '236 ml (8 oz)'}","[['1', 'Disodium laureth sulfosuccinate'], ['2', 'Glycerin'], ['3', 'PEG-45 palm kernel glycerides'], ['4', 'Dicocoylethyl hydroxyethylmonium methosulfate'], ['5', 'Sodium hydroxide'], ['6', 'Propylene glycol'], ['7', 'Diazolidinyl urea'], ['8', 'Methylparaben'], ['9', 'Propylparaben'], ['10', 'F.D. and C. Blue #1'], ['11', 'Water']]",없음,없음,없음
,"{'제품명': '럭셔리샴푸앤컨디셔너-허니써클', '제품 영문명': 'Luxury Dog Shampoo and Conditioner in One - Honeysuckle', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2010-07-09', '품목정보': '동물용의약외품-수입-022-560', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '불투명한 점성액제', '제조방법': '제조사의 제조 방법에 따름', '저장방법': '1)섭씨 25도 이하의 시원하고 통풍이 잘 되는 \n  건조한 곳에 보관\n2)제조일로부터 36개월', '포장단위': '12oz(355ml), 128oz (3787ml)'}","[['1', 'Purified water (ICID)'], ['2', 'Glycerin (ICID)'], ['3', 'Cellulose gum (ICID)'], ['4', 'Cocoglucoside (ICID)'], ['5', 'Decyl glucoside (ICID)'], ['6', 'Palm stearic acid (ICID)'], ['7', 'Citric acid (ICID)'], ['8', 'Colloidal oatmeal (ICID)'], ['9', 'Panthenol (ICID)'], ['10', 'Coconut oil (ICID)'], ['11', 'Organic honey (ICID)'], ['12', 'Essential oils (Fragrance : honeysuckle, jasmine, sweet violet, ICID)']]",없음,없음,없음
,"{'제품명': '포퓸-코코넛', '제품 영문명': 'Pawfume - Coconut', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2010-07-12', '품목정보': '동물용의약외품-수입-022-561', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '밝은 노랑의 약점성고형제(왁스형태)', '제조방법': '제조사의 제조 방법에 따름', '저장방법': '1)섭씨 25도 이하의 시원하고 통풍이 잘 되는 \n  건조한 곳에 보관\n2)제조일로부터 36개월', '포장단위': '20g'}","[['1', 'Aloe Butter (ICID)'], ['2', 'Shea Butter (ICID)'], ['3', 'Beeswax (ICID)'], ['4', 'Sweet Almond Oil (ICID)'], ['5', 'Apricot Seed Oil (ICID)'], ['6', 'Grapeseed Oil (ICID)'], ['7', 'Essential oil (Fragrance : coconut, vanilla bean, ICID)']]",없음,없음,없음
,"{'제품명': '포퓸-제라늄', '제품 영문명': 'Pawfume - Geranium', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2010-07-12', '품목정보': '동물용의약외품-수입-022-562', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '밝은 노랑의 약점성고형제(왁스형태)', '제조방법': '제조사의 제조 방법에 따름', '저장방법': '1)섭씨 25도 이하의 시원하고 통풍이 잘 되는 \n  건조한 곳에 보관\n2)제조일로부터 36개월', '포장단위': '20g'}","[['1', 'Aloe Butter (ICID)'], ['2', 'Shea Butter (ICID)'], ['3', 'Beeswax (ICID)'], ['4', 'Sweet Almond Oil (ICID)'], ['5', 'Apricot Seed Oil (ICID)'], ['6', 'Grapeseed Oil (ICID)'], ['7', 'Essential oil (Fragrance : geranium, rose, clary sage, ICID)']]",없음,없음,없음
,"{'제품명': '포퓸-라벤더', '제품 영문명': 'Pawfume - Lavender', '업체명': '한국동물약품공업협동조합', '업상태': '정상', '허가일': '2010-07-12', '품목정보': '동물용의약외품-수입-022-563', '취소/취하구분': '정상', '허가심사유형': '신고', '제조/수입구분': '수입', '성상': '밝은 노랑의 약점성고형제(왁스형태)', '제조방법': '제조사의 제조 방법에 따름', '저장방법': '1)섭씨 25도 이하의 시원하고 통풍이 잘 되는 \n  건조한 곳에 보관\n2)제조일로부터 36개월', '포장단위': '20g'}","[['1', 'Aloe Butter (ICID)'], ['2', 'Shea Butter (ICID)'], ['3', 'Beeswax (ICID)'], ['4', 'Sweet Almond Oil (ICID)'], ['5', 'Apricot Seed Oil (ICID)'], ['6', 'Grapeseed Oil (ICID)'], ['7', 'Essential oil (Fragrance : lavender, ylang ylang, eucalyptus, ICID)']]",없음,없음,없음
